#http://www.healthyyounaturally.com/nutrition/age_height_weight_chart.htm
#Height: Inches; Weight(Low High Average): Pounds; Gender: 1 female 2 male
Height	Low	High	Average	Gender
58	102	131	116.5	1
59	103	134	118.5	1
60	104	137	120.5	1
61	106	140	123	1
62	108	143	125.5	1
63	111	147	129	1
64	114	134	124	1
65	117	155	136	1
66	120	159	139.5	1
67	123	163	143	1
68	126	167	146.5	1
69	129	170	149.5	1
70	132	173	152.5	1
71	135	176	155.5	1
72	158.5	179	168.8	1
62	128	150	139	2
63	130	153	141.5	2
64	132	156	144	2
65	134	160	147	2
66	136	164	150	2
67	138	168	153	2
68	140	172	156	2
69	142	176	159	2
70	144	180	162	2
71	146	184	165	2
72	149	188	168.5	2
73	152	192	172	2
74	155	197	176	2
75	158	202	180	2
76	162	207	184.5	2
